mean1	mean2	sd1	sd2	sampleID
-0.53069896	-0.12018914	-1.7055674	0.08324326	HG01269
-0.5014617	0.07607298	-1.8857409	0.32307947	HG01271
-0.4016886	-0.04925222	-1.6382155	-0.0008711724	HG01272
-0.4861093	0.06943255	-1.8556228	0.2736982	HG01275
-0.51727027	0.17430882	-1.9019024	0.34217942	HG01277
-0.54823714	-0.070041366	-1.8015935	0.13081922	HG01280
-0.52348393	0.045499377	-1.5703733	0.07170404	HG01281
-0.48151878	-0.014493176	-1.8460755	0.24477197	HG01284
-0.3749409	-0.00042731373	-1.7093627	0.1792431	HG01286
-0.50949603	0.051910333	-1.7923326	0.19332112	HG01302
-0.48278645	0.064678006	-1.9011657	0.25913596	HG01303
-0.41536215	-0.02593822	-1.8649232	0.13278021	HG01305
-0.48267916	0.14056043	-1.7893745	0.19650973	HG01308
-0.50500685	0.048295073	-1.7537102	0.20310332	HG01311
-0.52513736	0.24602883	-1.8539054	0.24302746	HG01312
-0.5880262	0.017023973	-1.6642884	0.06874979	HG01323
-0.5054342	0.2535823	-1.7532551	0.24585475	HG01325
-0.52093464	0.023416094	-1.7142055	0.13614608	HG01326
-0.61084527	0.26677066	-1.7203394	0.14678122	HG01334
-0.5236936	0.034004144	-1.6173317	0.09063066	HG01341
-0.51985496	0.16543166	-1.6597463	0.06347943	HG01342
-0.38751927	-0.0049981554	-1.6582624	-0.045095198	HG01344
-0.551444	-0.0051558693	-1.653097	0.06647564	HG01345
-0.5538537	0.23174755	-1.6530173	0.09313799	HG01348
-0.5377006	0.035860352	-1.7693251	0.14067067	HG01350
-0.4883416	-0.12927194	-1.6609386	0.08082534	HG01351
-0.5029699	0.094563656	-1.682589	0.15638305	HG01353
-0.5214364	0.20851962	-1.82808	0.29863107	HG01354
-0.45570806	0.1580873	-1.8744166	0.152128	HG01356
